reportID	month	day	statefips	spend_accomodation_food	spend_arts_entertainment	spend_all	spend_general_merchandise	spend_grocery_food_store	spend_healthcare_social_assistance	spend_transportation_warehousing	spend_all_inchigh	spend_all_inclow	spend_all_incmiddle
147	1	15	53	-0.0837	0.0963	-0.0378	-0.11	-0.0497	-0.0845	-0.045	-0.049	0.0504	-0.0379
148	1	15	54	0.0983	0.0296	0.0472	0.0156	0.0738	0.265	0.0419	0.00588	0.0514	0.0463
149	1	15	55	-0.0555	0.0877	-0.0053	-0.0326	0.0294	0.0978	-0.037	0.00152	0.000352	-0.00794
150	1	15	56	0.0378	0.253	0.0214	0.02	-0.00157	0.249	0.0274	0.0353	0.0124	0.0263
151	1	16	1	0.0114	0.128	0.0198	0.0386	0.0015	0.173	0.0121	0.024	0.0213	0.022
152	1	16	2	-0.00563	0.161	0.00493	-0.173	0.00125	0.834	0.0347	0.0068	.	-0.0311
153	1	16	4	0.0125	0.0452	0.0253	-0.029	-0.00353	0.119	0.0503	0.0162	0.0201	0.0324
154	1	16	5	0.0191	0.157	0.0326	0.0278	0.0284	0.0183	0.0072	0.0394	0.0119	0.0527
155	1	16	6	0.0057	-0.00239	0.0196	-0.00593	-0.0135	0.0872	0.00632	0.0223	0.0281	0.0136
156	1	16	8	0.0256	0.0738	0.0294	0.0342	-0.00319	-0.00896	-0.00975	0.0427	0.0375	0.0137
157	1	16	9	-0.0152	0.0671	0.0417	-0.0219	0.0562	-0.276	0.0487	0.0315	0.0556	0.061
158	1	16	10	0.0326	-0.359	0.00243	0.0792	-0.0405	0.209	-0.0358	0.0391	0.00874	-0.034
159	1	16	12	0.0128	0.0977	0.0362	0.00448	0.0194	0.0526	0.053	0.0422	0.0388	0.0338
160	1	16	13	0.00511	0.187	0.0196	-0.011	-0.00646	0.0222	-0.00581	0.0177	0.0312	0.0188
161	1	16	15	-0.0108	-0.028	0.00287	0.0381	-0.00674	0.107	0.0297	0.0115	0.000922	-0.0109
162	1	16	16	-0.018	0.0506	0.0118	-0.0153	-0.03	0.0474	0.0462	-0.202	0.00955	0.00456
163	1	16	17	-0.00981	0.155	0.0351	-0.00192	0.0328	0.0402	0.0109	0.0448	0.031	0.0372
164	1	16	18	0.0226	0.192	0.0221	0.00825	0.00677	0.181	-0.00222	0.0409	0.0329	0.0134
165	1	16	19	-0.0337	-0.0229	0.0138	-0.0527	0.0902	0.104	0.01	0.00892	0.0146	0.0111
166	1	16	20	-0.0056	0.157	0.0237	-0.00318	0.042	-0.0562	0.0139	0.0076	-0.0115	0.0503
167	1	16	21	0.0268	0.111	0.0393	0.0339	0.0424	-0.0103	0.0585	0.0302	0.0434	0.0414
168	1	16	22	0.0202	0.237	0.0156	-0.00392	0.019	0.195	0.0227	-0.0296	0.0119	0.0153
169	1	16	23	-0.0454	0.0106	0.018	-0.135	0.0139	0.0998	0.0472	0.0484	0.0397	0.0129
170	1	16	24	0.0369	0.136	-0.0083	-0.0127	-0.0203	-0.0908	-0.0334	-0.00587	-0.0112	-0.0094
171	1	16	25	0.0337	0.044	0.0435	0.0247	0.0761	0.16	0.0326	0.0564	-0.0565	0.0433
172	1	16	26	-0.071	0.0412	0.00846	-0.0574	0.0378	0.0388	0.0184	-0.00956	0.0265	0.00525
173	1	16	27	-0.0248	-0.0255	0.00888	-0.0394	0.0399	0.0149	0.0605	0.00533	-0.00535	0.0139
174	1	16	28	-0.2	0.0783	-0.00417	-0.0511	-0.0473	-0.313	0.00987	-0.00917	-0.0128	-0.0118
175	1	16	29	0.158	0.213	0.0449	0.0496	-0.00511	-0.278	-0.0617	0.0715	0.0386	0.044
176	1	16	30	0.0424	0.043	0.0205	-0.125	-0.0391	-0.157	0.0437	-0.126	0.0135	0.0268
177	1	16	31	0.00659	0.171	0.064	0.0653	0.101	0.0425	0.0798	0.0625	0.044	0.069
178	1	16	32	-0.0192	0.0526	0.0351	-0.00582	-0.0213	0.0887	0.0166	0.00385	0.0535	0.0466
179	1	16	33	-0.0405	0.106	0.0337	-0.00262	0.0837	-0.00357	0.039	0.0444	-0.144	0.0301
180	1	16	34	0.0103	0.0916	0.0322	-0.00688	0.0538	-0.00371	0.0365	0.0358	-0.0138	0.0317
181	1	16	35	-0.0293	0.0226	0.017	-0.0548	-0.0698	0.203	-0.054	0.052	0.0327	0.00774
182	1	16	36	0.00424	0.0761	0.034	-0.00638	0.0708	0.0793	0.00696	0.0364	0.0177	0.0387
183	1	16	37	0.00407	0.17	0.0156	-0.0102	-0.0187	0.0581	0.00178	0.0219	0.00833	0.0141
184	1	16	38	0.0104	0.0691	0.000306	-0.0289	0.0179	-0.0147	0.082	-0.0183	0.0509	0.00153
185	1	16	39	-0.0348	0.13	0.0193	-0.00165	0.0321	0.121	0.0233	0.0187	0.0258	0.0137
186	1	16	40	-0.0137	0.112	0.0383	-0.0259	0.0202	0.115	0.0636	0.0245	0.0616	0.0284
187	1	16	41	-0.0283	0.039	0.00265	-0.019	-0.0201	-0.0823	-0.00489	0.058	-0.0348	-0.00861
188	1	16	42	-0.00367	0.0755	0.0351	-0.00547	0.0572	0.00668	0.0425	0.0264	0.0369	0.0402
189	1	16	44	0.0342	0.106	0.0337	-0.0774	0.0302	-0.108	0.153	0.0326	-0.02	0.14
190	1	16	45	0.0492	0.2	0.0533	0.0147	0.0128	0.0592	-0.00966	0.0335	0.0661	0.0503
191	1	16	46	-0.034	-0.0343	0.00478	-0.0558	0.000334	-0.026	0.0614	-0.022	0.00222	0.00611
192	1	16	47	-0.00823	0.0871	0.023	0.00708	0.0249	0.0217	-0.00545	0.0114	0.0212	0.0266
193	1	16	48	0.00399	0.0193	0.0246	-0.0103	-0.0201	0.0253	0.0182	0.0229	0.0298	0.0234
194	1	16	49	0.0176	0.154	0.0135	0.00946	-0.00192	0.00505	-0.00748	0.0215	0.0642	0.00384
195	1	16	50	-0.0475	0.203	0.0157	-0.0249	0.0479	-0.0826	-0.024	-0.0151	.	0.0193
196	1	16	51	0.0264	0.174	0.0105	0.0204	-0.0271	-0.0553	-0.00443	0.0109	0.0358	0.00177
197	1	16	53	-0.0634	0.112	-0.0275	-0.071	-0.043	-0.0752	0.00263	-0.0184	0.0334	-0.0425
198	1	16	54	0.103	0.0629	0.0518	-0.008	0.0607	0.275	0.00478	0.0666	0.0412	0.0626
199	1	16	55	-0.0445	0.153	0.0112	-0.0244	0.0685	0.0665	-0.00137	0.00615	0.0102	0.0122
200	1	16	56	0.0548	0.269	0.0422	0.038	0.00758	0.204	0.0572	0.0358	0.0549	0.0477
201	1	17	1	0.0114	0.0919	0.00122	0.000916	-0.0305	0.107	-0.00937	-0.00398	0.00582	0.00105
202	1	17	2	-0.021	0.116	-0.00702	-0.153	-0.00986	0.531	-0.0211	-0.0111	.	-0.0199
203	1	17	4	-0.000745	0.0181	0.00712	-0.0253	-0.0152	0.0806	0.0374	0.00392	-0.00769	0.0135
204	1	17	5	0.0234	0.203	0.0166	-0.0385	-0.0117	0.0422	0.0276	0.0075	0.0105	0.0248
205	1	17	6	-0.00321	-0.0576	0.00403	-0.00455	-0.0093	0.0692	0.0183	0.00883	0.00882	-0.00555
206	1	17	8	0.0146	0.0531	0.0185	0.0309	-0.00917	-0.0035	0.0029	0.0349	0.0241	0.000489
207	1	17	9	-0.00782	0.0399	0.011	-0.0588	0.029	-0.177	0.0855	0.00602	0.000589	0.0269
208	1	17	10	0.0323	-0.156	-0.0109	0.113	-0.0374	0.146	-0.00357	0.0471	-0.0104	-0.0405
209	1	17	12	0.0152	0.0908	0.0142	-0.0107	-0.0103	0.0369	0.0403	0.0176	0.0163	0.0124
210	1	17	13	0.00995	0.158	0.00649	-0.0108	-0.0139	0.0164	-0.000435	0.00529	0.0166	0.00516
211	1	17	15	-0.00187	-0.0856	-0.00433	0.0574	-0.00112	0.044	0.0325	-0.004	-0.0128	-0.0073
212	1	17	16	-0.0218	0.0724	0.00583	-0.0145	-0.0423	0.0632	0.0334	-0.068	0.0227	-0.00382
213	1	17	17	-0.0373	0.112	-0.00329	-0.0384	-0.0241	0.0196	0.0194	-0.00186	-0.00106	-0.00255
214	1	17	18	0.0141	0.121	0.0158	0.0262	0.0142	0.136	0.0316	0.0266	0.0326	0.0117
215	1	17	19	-0.0951	0.102	-0.0438	-0.111	-0.0312	0.0355	0.0143	-0.052	-0.0234	-0.0451
216	1	17	20	-0.00465	0.264	-0.0191	-0.0831	-0.0639	-0.0389	-0.0271	-0.0274	-0.044	-0.00416
217	1	17	21	0.0178	-0.0444	0.00792	0.0228	0.00631	0.00973	0.0242	0.0495	0.00223	0.0156
218	1	17	22	0.0139	0.062	-0.00426	0.0111	-0.032	0.12	0.00343	0.0645	0.00758	-0.0224
219	1	17	23	-0.0682	-0.177	-0.0322	-0.208	-0.074	0.0506	0.00544	-0.00512	-0.0248	-0.0373
220	1	17	24	0.0263	-0.0182	-0.0331	-0.0257	-0.0417	-0.0433	-0.0143	-0.0314	-0.0416	-0.0358
221	1	17	25	0.00387	-0.00307	-0.01	-0.0581	0.00414	0.109	0.0266	0.00401	-0.181	-0.0222
222	1	17	26	-0.107	-0.025	-0.0473	-0.0803	-0.0531	0.0105	-0.0244	-0.033	-0.0337	-0.0565
223	1	17	27	-0.0572	-0.0453	-0.0161	-0.0767	0.0404	-0.0119	0.0588	-0.0158	-0.00546	-0.0166
